FPS: 5.29616888754, fr_cap: 0.00169706344604, t_calcs: 0.185837030411, imshow2: 0.00123596191406, tot: 0.188815731
FPS: 5.30950086704, fr_cap: 0.0015070438385, t_calcs: 0.185540914536, imshow2: 0.00124716758728, tot: 0.188341621
FPS: 5.21069605833, fr_cap: 0.00167894363403, t_calcs: 0.188941001892, imshow2: 0.0012481212616, tot: 0.19191294
FPS: 5.19821108971, fr_cap: 0.00185394287109, t_calcs: 0.189200162888, imshow2: 0.00126600265503, tot: 0.192373873
FPS: 5.19401074051, fr_cap: 0.00189995765686, t_calcs: 0.189332962036, imshow2: 0.00123691558838, tot: 0.192529444
FPS: 5.12216522857, fr_cap: 0.0012309551239, t_calcs: 0.192733049393, imshow2: 0.00122094154358, tot: 0.195229938
FPS: 5.24844454342, fr_cap: 0.00177097320557, t_calcs: 0.187485218048, imshow2: 0.00122499465942, tot: 0.190532641
FPS: 5.24349954578, fr_cap: 0.00182509422302, t_calcs: 0.187594890594, imshow2: 0.00124502182007, tot: 0.190712327
FPS: 5.16580466262, fr_cap: 0.00197410583496, t_calcs: 0.190318822861, imshow2: 0.00124096870422, tot: 0.193580684
FPS: 5.11169759549, fr_cap: 0.00162506103516, t_calcs: 0.192694187164, imshow2: 0.00126481056213, tot: 0.195629726
FPS: 5.23125043338, fr_cap: 0.00162601470947, t_calcs: 0.188252925873, imshow2: 0.00123405456543, tot: 0.191158885
FPS: 5.15269968847, fr_cap: 0.0015389919281, t_calcs: 0.191154003143, imshow2: 0.00133299827576, tot: 0.194073022
FPS: 5.25922819943, fr_cap: 0.00199890136719, t_calcs: 0.18682384491, imshow2: 0.00126194953918, tot: 0.190141968
FPS: 5.32940250816, fr_cap: 0.00178003311157, t_calcs: 0.184557914734, imshow2: 0.00124502182007, tot: 0.187638295
FPS: 5.24157567929, fr_cap: 0.00226211547852, t_calcs: 0.187126159668, imshow2: 0.00134801864624, tot: 0.190782326
FPS: 5.14701843079, fr_cap: 0.00178718566895, t_calcs: 0.191218137741, imshow2: 0.00123190879822, tot: 0.194287239
FPS: 5.29502816764, fr_cap: 0.00180506706238, t_calcs: 0.185779094696, imshow2: 0.00122714042664, tot: 0.188856408
FPS: 5.2532666296, fr_cap: 0.00169587135315, t_calcs: 0.187385082245, imshow2: 0.00123000144958, tot: 0.190357747
FPS: 5.29587965787, fr_cap: 0.0014979839325, t_calcs: 0.185918092728, imshow2: 0.0013599395752, tot: 0.188826043
FPS: 5.23221126522, fr_cap: 0.00161910057068, t_calcs: 0.188244104385, imshow2: 0.00121402740479, tot: 0.191123781
FPS: 5.31034523117, fr_cap: 0.00173616409302, t_calcs: 0.185289859772, imshow2: 0.00123715400696, tot: 0.188311674
FPS: 5.22075140719, fr_cap: 0.00184392929077, t_calcs: 0.188415050507, imshow2: 0.00123286247253, tot: 0.191543309
FPS: 5.08288608976, fr_cap: 0.00163793563843, t_calcs: 0.193810224533, imshow2: 0.0012378692627, tot: 0.196738621
FPS: 5.17378224959, fr_cap: 0.00201797485352, t_calcs: 0.18997502327, imshow2: 0.00123190879822, tot: 0.193282197
FPS: 5.01788006149, fr_cap: 0.00168800354004, t_calcs: 0.196330070496, imshow2: 0.00122404098511, tot: 0.199287346
FPS: 5.25462236913, fr_cap: 0.0018048286438, t_calcs: 0.187143087387, imshow2: 0.00131297111511, tot: 0.190308633
FPS: 5.1773928293, fr_cap: 0.00172710418701, t_calcs: 0.190146923065, imshow2: 0.00122904777527, tot: 0.193147407
FPS: 5.20976574757, fr_cap: 0.00165414810181, t_calcs: 0.188992023468, imshow2: 0.00125479698181, tot: 0.19194721
FPS: 5.24272926902, fr_cap: 0.00170183181763, t_calcs: 0.187659978867, imshow2: 0.00132918357849, tot: 0.190740347
FPS: 5.29044691093, fr_cap: 0.00209307670593, t_calcs: 0.185638904572, imshow2: 0.00123906135559, tot: 0.189019948
FPS: 5.2613179011, fr_cap: 0.00184798240662, t_calcs: 0.186928987503, imshow2: 0.00123906135559, tot: 0.190066447
