FPS: 5.08926144714, fr_cap: 0.00539112091064, t_calcs: 0.189218044281, imshow2: 0.00181293487549, tot: 0.196492165
FPS: 5.11068055217, fr_cap: 0.00529217720032, t_calcs: 0.188606023788, imshow2: 0.00170803070068, tot: 0.195668657
FPS: 5.47302141957, fr_cap: 0.00524401664734, t_calcs: 0.175949811935, imshow2: 0.00145697593689, tot: 0.182714432
FPS: 5.2762691737, fr_cap: 0.00522589683533, t_calcs: 0.182787179947, imshow2: 0.0014488697052, tot: 0.189527859
FPS: 5.28255323378, fr_cap: 0.00511598587036, t_calcs: 0.182667016983, imshow2: 0.00145506858826, tot: 0.189302399
FPS: 5.49396310149, fr_cap: 0.0055730342865, t_calcs: 0.174911975861, imshow2: 0.00146508216858, tot: 0.182017968
FPS: 5.27099772708, fr_cap: 0.00711798667908, t_calcs: 0.180823087692, imshow2: 0.00169897079468, tot: 0.189717403
FPS: 5.36682947642, fr_cap: 0.00513911247253, t_calcs: 0.179650068283, imshow2: 0.00147104263306, tot: 0.186329751
FPS: 5.57166810779, fr_cap: 0.00535607337952, t_calcs: 0.172621965408, imshow2: 0.00143718719482, tot: 0.179479463
FPS: 5.25586795056, fr_cap: 0.00514101982117, t_calcs: 0.18358206749, imshow2: 0.00147795677185, tot: 0.190263532
FPS: 5.31259133341, fr_cap: 0.00550699234009, t_calcs: 0.181225061417, imshow2: 0.00143599510193, tot: 0.188232058
FPS: 5.57232186716, fr_cap: 0.00513815879822, t_calcs: 0.172813892365, imshow2: 0.00143790245056, tot: 0.179458406
FPS: 5.41731656182, fr_cap: 0.00512909889221, t_calcs: 0.17769408226, imshow2: 0.00170803070068, tot: 0.184593237
FPS: 5.35445475831, fr_cap: 0.00513911247253, t_calcs: 0.179836988449, imshow2: 0.00171399116516, tot: 0.186760379
FPS: 5.57543389783, fr_cap: 0.00523686408997, t_calcs: 0.172350168228, imshow2: 0.00169777870178, tot: 0.179358238
FPS: 5.1900990287, fr_cap: 0.00646090507507, t_calcs: 0.184675931931, imshow2: 0.00145888328552, tot: 0.192674551
FPS: 5.33253672345, fr_cap: 0.00533390045166, t_calcs: 0.180667877197, imshow2: 0.0014591217041, tot: 0.18752801
FPS: 5.44744952756, fr_cap: 0.0052490234375, t_calcs: 0.176549911499, imshow2: 0.00170302391052, tot: 0.183572146
FPS: 5.27838230504, fr_cap: 0.00519990921021, t_calcs: 0.182732105255, imshow2: 0.00145411491394, tot: 0.189451984
FPS: 5.38542243159, fr_cap: 0.00552797317505, t_calcs: 0.178388118744, imshow2: 0.00170302391052, tot: 0.185686455
FPS: 5.50672273377, fr_cap: 0.00511908531189, t_calcs: 0.174960851669, imshow2: 0.0014500617981, tot: 0.181596214
FPS: 5.31581902796, fr_cap: 0.00524616241455, t_calcs: 0.181092977524, imshow2: 0.0017101764679, tot: 0.188117766
FPS: 5.24223739447, fr_cap: 0.00517606735229, t_calcs: 0.184063911438, imshow2: 0.00145101547241, tot: 0.190758244
FPS: 5.45961245138, fr_cap: 0.00513386726379, t_calcs: 0.176264047623, imshow2: 0.00170183181763, tot: 0.183163184
FPS: 5.11314889752, fr_cap: 0.0069100856781, t_calcs: 0.186866044998, imshow2: 0.00171804428101, tot: 0.195574199
FPS: 5.08374519549, fr_cap: 0.00516390800476, t_calcs: 0.190039873123, imshow2: 0.00143504142761, tot: 0.196705374
FPS: 5.20445471346, fr_cap: 0.00562906265259, t_calcs: 0.184993982315, imshow2: 0.00145387649536, tot: 0.192143088
FPS: 5.12278275461, fr_cap: 0.00545787811279, t_calcs: 0.188210964203, imshow2: 0.00147390365601, tot: 0.195206404
FPS: 5.11635905155, fr_cap: 0.00550293922424, t_calcs: 0.188345909119, imshow2: 0.00153017044067, tot: 0.19545149
FPS: 5.13446675523, fr_cap: 0.00561690330505, t_calcs: 0.187623977661, imshow2: 0.00144791603088, tot: 0.194762192
FPS: 5.30617463358, fr_cap: 0.00525403022766, t_calcs: 0.18168592453, imshow2: 0.00145220756531, tot: 0.188459685
FPS: 5.07882222905, fr_cap: 0.00554203987122, t_calcs: 0.189470052719, imshow2: 0.00181698799133, tot: 0.196896043
FPS: 5.1024423473, fr_cap: 0.00523114204407, t_calcs: 0.188987970352, imshow2: 0.00169897079468, tot: 0.195984576
FPS: 5.16804059715, fr_cap: 0.00733780860901, t_calcs: 0.184539079666, imshow2: 0.00154113769531, tot: 0.193496932
FPS: 5.21039341977, fr_cap: 0.00556206703186, t_calcs: 0.184828996658, imshow2: 0.00146508216858, tot: 0.191924087
FPS: 5.21036741192, fr_cap: 0.00552916526794, t_calcs: 0.184870958328, imshow2: 0.00145411491394, tot: 0.191925045
FPS: 5.26820230936, fr_cap: 0.00521397590637, t_calcs: 0.183099031448, imshow2: 0.00143909454346, tot: 0.189818071
FPS: 5.18978030124, fr_cap: 0.00518798828125, t_calcs: 0.185704946518, imshow2: 0.00172305107117, tot: 0.192686384
FPS: 5.1023533615, fr_cap: 0.00517511367798, t_calcs: 0.189289808273, imshow2: 0.00145721435547, tot: 0.195987994
FPS: 5.51848455306, fr_cap: 0.00512385368347, t_calcs: 0.174576997757, imshow2: 0.00143790245056, tot: 0.181209169
FPS: 5.42474061779, fr_cap: 0.00520491600037, t_calcs: 0.177618026733, imshow2: 0.00145196914673, tot: 0.184340611
FPS: 5.41049937594, fr_cap: 0.00523018836975, t_calcs: 0.178071022034, imshow2: 0.00145697593689, tot: 0.184825823
FPS: 5.47993960427, fr_cap: 0.00679492950439, t_calcs: 0.174071073532, imshow2: 0.0015389919281, tot: 0.182483763
FPS: 5.254040779, fr_cap: 0.0124690532684, t_calcs: 0.17609000206, imshow2: 0.00170421600342, tot: 0.190329699
FPS: 5.39300775512, fr_cap: 0.00513505935669, t_calcs: 0.178748130798, imshow2: 0.00147700309753, tot: 0.185425285
